Neighborhood,Location,Bedrooms,Bathrooms,House Size (sqft),Price (k$)
West Hollywood,Los Angeles,3,2,1500,1200
Upper East Side,New York City,2,1,1000,1500
South Beach,Miami,4,3,2000,800
Georgetown,Washington D.C.,5,4,3000,2000
Pacific Heights,San Francisco,4,3,2500,2500
Beverly Hills,Los Angeles,6,5,4000,3500
Back Bay,Boston,3,2,1800,1000
Old Town,Chicago,2,1,1200,700
Capitol Hill,Seattle,4,3,2200,900
South End,Boston,2,2,1400,800
South of Market,San Francisco,1,1,800,600
Downtown,Miami,3,2,1600,700
Dupont Circle,Washington D.C.,2,2,1300,1000
Greenwich Village,New York City,1,1,900,1200
Mission District,San Francisco,3,2,1700,1100
South Loop,Chicago,2,2,1500,800
Venice Beach,Los Angeles,1,1,700,500
Belltown,Seattle,2,1,1100,600
South Beach,San Francisco,4,3,2200,1800